Currency,Total Price,Base Price,Fee Amount,Grand Total Price,Additional fees,Fee Type
EUR,1233.21,1001.00,"['0.00', '0.00']",1233.21,['60.00'],['CHECKED_BAGS']
EUR,1233.21,1001.00,"['0.00', '0.00']",1233.21,['60.00'],['CHECKED_BAGS']
EUR,1233.21,1001.00,"['0.00', '0.00']",1233.21,['60.00'],['CHECKED_BAGS']
EUR,1233.21,1001.00,"['0.00', '0.00']",1233.21,['60.00'],['CHECKED_BAGS']
EUR,1233.21,1001.00,"['0.00', '0.00']",1233.21,['60.00'],['CHECKED_BAGS']
EUR,1238.16,1001.00,"['0.00', '0.00']",1238.16,['60.00'],['CHECKED_BAGS']
EUR,1238.16,1001.00,"['0.00', '0.00']",1238.16,['60.00'],['CHECKED_BAGS']
EUR,1238.16,1001.00,"['0.00', '0.00']",1238.16,['60.00'],['CHECKED_BAGS']
EUR,1238.16,1001.00,"['0.00', '0.00']",1238.16,['60.00'],['CHECKED_BAGS']
EUR,1238.16,1001.00,"['0.00', '0.00']",1238.16,['60.00'],['CHECKED_BAGS']
EUR,1238.16,1001.00,"['0.00', '0.00']",1238.16,['60.00'],['CHECKED_BAGS']
EUR,1238.16,1001.00,"['0.00', '0.00']",1238.16,['60.00'],['CHECKED_BAGS']
EUR,1238.16,1001.00,"['0.00', '0.00']",1238.16,['60.00'],['CHECKED_BAGS']
EUR,1238.16,1001.00,"['0.00', '0.00']",1238.16,['60.00'],['CHECKED_BAGS']
EUR,1238.16,1001.00,"['0.00', '0.00']",1238.16,['60.00'],['CHECKED_BAGS']
EUR,1248.73,1001.00,"['0.00', '0.00']",1248.73,['60.00'],['CHECKED_BAGS']
EUR,1626.16,1389.00,"['0.00', '0.00']",1626.16,['60.00'],['CHECKED_BAGS']
EUR,1956.03,1720.00,"['0.00', '0.00']",1956.03,['70.00'],['CHECKED_BAGS']
EUR,429.83,226.00,"['0.00', '0.00']",429.83,['90.00'],['CHECKED_BAGS']
EUR,434.28,267.00,"['0.00', '0.00']",434.28,['75.00'],['CHECKED_BAGS']
EUR,465.92,251.00,"['0.00', '0.00']",465.92,[],[]
EUR,465.92,251.00,"['0.00', '0.00']",465.92,[],[]
EUR,476.90,251.00,"['0.00', '0.00']",476.90,['65.00'],['CHECKED_BAGS']
EUR,476.90,251.00,"['0.00', '0.00']",476.90,['65.00'],['CHECKED_BAGS']
EUR,476.90,251.00,"['0.00', '0.00']",476.90,['65.00'],['CHECKED_BAGS']
EUR,476.90,251.00,"['0.00', '0.00']",476.90,['65.00'],['CHECKED_BAGS']
