Duration,Departure IATACodes,Departure Terminals,Number of Stops,layover durations,Arrival Terminals,Departure Times,Arrival Times,Airline,Blacklist
PT19H45M,"CPH, FRA","2, 1",1,"{'CPH': 'PT1H30M', 'FRA': 'PT8H55M'}","1, 1","2024-06-21T06:20:00, 2024-06-21T17:10:00","2024-06-21T07:50:00, 2024-06-21T20:05:00","UA, UA","False, False"
PT16H10M,"CPH, VIE","2, ",1,"{'CPH': 'PT1H40M', 'VIE': 'PT8H'}","3, ","2024-06-21T09:50:00, 2024-06-21T18:00:00","2024-06-21T11:30:00, 2024-06-21T20:00:00","OS, OS","False, False"
PT16H15M,"CPH, VIE","2, 3",1,"{'CPH': 'PT1H40M', 'VIE': 'PT9H10M'}","3, 1","2024-06-21T09:50:00, 2024-06-21T16:55:00","2024-06-21T11:30:00, 2024-06-21T20:05:00","OS, OS","False, False"
PT19H,"CPH, VIE","2, ",1,"{'CPH': 'PT1H40M', 'VIE': 'PT8H'}","3, ","2024-06-21T07:00:00, 2024-06-21T18:00:00","2024-06-21T08:40:00, 2024-06-21T20:00:00","OS, OS","False, False"
PT19H5M,"CPH, VIE","2, 3",1,"{'CPH': 'PT1H40M', 'VIE': 'PT9H10M'}","3, 1","2024-06-21T07:00:00, 2024-06-21T16:55:00","2024-06-21T08:40:00, 2024-06-21T20:05:00","OS, OS","False, False"
PT12H50M,"CPH, ZRH","2, ",1,"{'CPH': 'PT1H50M', 'ZRH': 'PT9H10M'}",", 1","2024-06-21T09:40:00, 2024-06-21T13:20:00","2024-06-21T11:30:00, 2024-06-21T16:30:00","LX, LX","False, False"
PT12H,"CPH, MUC","2, 2",1,"{'CPH': 'PT1H35M', 'MUC': 'PT8H55M'}","2, 1","2024-06-21T08:50:00, 2024-06-21T11:55:00","2024-06-21T10:25:00, 2024-06-21T14:50:00","LH, LH","False, False"
PT14H45M,"CPH, MUC","2, 2",1,"{'CPH': 'PT1H35M', 'MUC': 'PT8H55M'}","2, 1","2024-06-21T06:05:00, 2024-06-21T11:55:00","2024-06-21T07:40:00, 2024-06-21T14:50:00","LH, LH","False, False"
PT15H10M,"CPH, MUC","2, 2",1,"{'CPH': 'PT1H35M', 'MUC': 'PT8H'}","2, 1","2024-06-21T12:50:00, 2024-06-21T20:00:00","2024-06-21T14:25:00, 2024-06-21T22:00:00","LH, LH","False, False"
PT11H10M,"CPH, FRA","2, 1",1,"{'CPH': 'PT1H30M', 'FRA': 'PT8H'}","1, ","2024-06-21T14:50:00, 2024-06-21T18:00:00","2024-06-21T16:20:00, 2024-06-21T20:00:00","LH, LH","False, False"
PT11H15M,"CPH, FRA","2, 1",1,"{'CPH': 'PT1H30M', 'FRA': 'PT8H55M'}","1, 1","2024-06-21T14:50:00, 2024-06-21T17:10:00","2024-06-21T16:20:00, 2024-06-21T20:05:00","LH, LH","False, False"
PT13H40M,"CPH, FRA","2, 1",1,"{'CPH': 'PT1H30M', 'FRA': 'PT7H35M'}","1, 1","2024-06-21T14:50:00, 2024-06-21T20:55:00","2024-06-21T16:20:00, 2024-06-21T22:30:00","LH, LH","False, False"
PT14H20M,"CPH, FRA","2, 1",1,"{'CPH': 'PT1H30M', 'FRA': 'PT8H50M'}","1, 1","2024-06-21T14:50:00, 2024-06-21T20:20:00","2024-06-21T16:20:00, 2024-06-21T23:10:00","LH, LH","False, False"
PT14H,"CPH, FRA","2, 1",1,"{'CPH': 'PT1H30M', 'FRA': 'PT8H'}","1, ","2024-06-21T12:00:00, 2024-06-21T18:00:00","2024-06-21T13:30:00, 2024-06-21T20:00:00","LH, LH","False, False"
