id,lastTicketingDate,lastTicketingDateTime,numberOfBookableSeats,validatingAirlineCodes,Duration,Number of Stops,Airline,Base Price,Grand Total Price,Currency.1,Total Price.1,Base Price.1,Branded Fares,Branded Fare Labels,Included Checked Bags Quantities,BAGGAGE_description,BAGGAGE_isChargeable,BRANDED_FARES_description,BRANDED_FARES_isChargeable,BRANDED_FARES_amenityProvider,PRE_RESERVED_SEAT_description,PRE_RESERVED_SEAT_isChargeable,PRE_RESERVED_SEAT_amenityProvider,TRAVEL_SERVICES_description,TRAVEL_SERVICES_isChargeable,TRAVEL_SERVICES_amenityProvider,Origin Airport,Flight duration 1,Airport layover 1,Flight duration 2,Airport layover 2,Flight duration 3,Firt flight departure,Second flight departure,Third flight departure,Firt flight arrival,Second flight arrival,Third flight arrival,Origin airport,1st layover,2nd layover,Branded Fares Lables,Meal Option
264,2024-05-21,2024-05-21,9,AY,PT16H5M,1,AY,341.0,567.16,EUR,567.16,341.0,ELIGHT,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,,,,,,,,,,CPH, PT2H5M, LHR, PT8H,,,2024-06-19T11:00:00, 2024-06-19T18:05:00,,2024-06-19T12:05:00, 2024-06-19T21:05:00,,CPH, LHR,,ELIGHT,MEAL AND BEVERAGE
265,2024-05-21,2024-05-21,1,AY,PT12H30M,1,AY,341.0,567.16,EUR,567.16,341.0,ELIGHT,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,,,,,,,,,,CPH, PT2H5M, LHR, PT7H50M,,,2024-06-19T11:00:00, 2024-06-19T14:40:00,,2024-06-19T12:05:00, 2024-06-19T17:30:00,,CPH, LHR,,ELIGHT,MEAL AND BEVERAGE
266,2024-05-21,2024-05-21,1,AY,PT16H55M,1,AY,341.0,567.16,EUR,567.16,341.0,ELIGHT,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,,,,,,,,,,CPH, PT2H5M, LHR, PT7H50M,,,2024-06-19T11:00:00, 2024-06-19T19:05:00,,2024-06-19T12:05:00, 2024-06-19T21:55:00,,CPH, LHR,,ELIGHT,MEAL AND BEVERAGE
267,2024-05-21,2024-05-21,9,LO,PT19H20M,1,LO,429.0,629.56,EUR,629.56,429.0,ECONOBAG,ECONOMY NO BAG,0,1 ST CHECKED BAG UP TO 23KG,True,,,,PRE RESERVED SEAT ASSIGNMENT,True,BrandedFare,,,,CPH, PT1H25M, WAW, PT9H30M,,,2024-06-19T07:00:00, 2024-06-19T16:50:00,,2024-06-19T08:25:00, 2024-06-19T20:20:00,,CPH, WAW,,ECONOBAG,HOT DINNER
268,2024-05-21,2024-05-21,4,LO,PT13H45M,1,LO,349.0,664.56,EUR,664.56,349.0,ECOSTAND,ECONOMY STANDARD,1,PREPAID TO 23KG OR EXC DIM,True,MILEAGE ACCRUAL,False,BrandedFare,PRE RESERVED SEAT ASSIGNMENT,True,BrandedFare,,,,CPH, PT1H25M, WAW, PT9H30M,,,2024-06-19T12:35:00, 2024-06-19T16:50:00,,2024-06-19T14:00:00, 2024-06-19T20:20:00,,CPH, WAW,,ECOSTAND,HOT DINNER
269,2024-05-21,2024-05-21,4,LO,PT28H55M,1,LO,349.0,664.56,EUR,664.56,349.0,ECOSTAND,ECONOMY STANDARD,1,PREPAID TO 23KG OR EXC DIM,True,MILEAGE ACCRUAL,False,BrandedFare,PRE RESERVED SEAT ASSIGNMENT,True,BrandedFare,,,,CPH, PT1H20M, WAW, PT9H20M,,,2024-06-19T16:50:00, 2024-06-20T12:25:00,,2024-06-19T18:10:00, 2024-06-20T15:45:00,,CPH, WAW,,ECOSTAND,HOT DINNER
270,2024-05-21,2024-05-21,9,LO,PT15H40M,1,LO,537.0,737.56,EUR,737.56,537.0,ECONOBAG,ECONOMY NO BAG,0,1 ST CHECKED BAG UP TO 23KG,True,,,,PRE RESERVED SEAT ASSIGNMENT,True,BrandedFare,,,,CPH, PT1H25M, WAW, PT9H30M,,,2024-06-19T10:40:00, 2024-06-19T16:50:00,,2024-06-19T12:05:00, 2024-06-19T20:20:00,,CPH, WAW,,ECONOBAG,HOT DINNER
271,2024-05-21,2024-05-21,9,TK,PT18H10M,1,TK,484.0,756.46,EUR,756.46,484.0,RS,RESTRICTED,2,1 PIECE X 8 KG CABIN BAGGAGE,False,STANDART SEAT SELECTION,True,BrandedFare,,,,,,,CPH, PT3H25M, IST, PT10H45M,,,2024-06-19T10:20:00, 2024-06-19T18:45:00,,2024-06-19T14:45:00, 2024-06-19T22:30:00,,CPH, IST,,RS,MEAL SERVICE
272,2024-05-21,2024-05-21,4,IB,PT17H50M,1,IB,712.0,929.45,EUR,929.45,712.0,BASIC,BASIC,0,FIRST CHECKED BAG,True,,,,,,,,,,CPH, PT3H, BCN, PT8H55M,,,2024-06-19T09:50:00, 2024-06-19T18:45:00,,2024-06-19T12:50:00, 2024-06-19T21:40:00,,CPH, BCN,,BASIC,MEAL
273,2024-06-19,2024-06-19,9,AZ,PT18H35M,2,AZ,858.0,1061.24,EUR,1061.24,858.0,ECOFLEX,ECONOMY FLEX,1,,,REFUNDABLE TICKET,True,BrandedFare,ADVANCE SEAT RESERVATION,True,BrandedFare,,,,CPH, PT2H5M, CDG, PT2H5M, FCO, PT9H45M,2024-06-19T06:20:00, 2024-06-19T11:40:00, 2024-06-19T15:10:00,2024-06-19T08:25:00, 2024-06-19T13:45:00, 2024-06-19T18:55:00,CPH, CDG, FCO,ECOFLEX,MEAL AND WINE
