numberOfBookableSeats,validatingAirlineCodes,Duration,Number of Stops,Grand Total Price,Branded Fare Labels,Included Checked Bags Quantities,Flight duration 1,Airport layover 1,Flight duration 2,Airport layover 2,Flight duration 3,Flight depature date,Departure Time,Arrival Time,Day of Week Departure,Day Type Departure,Log Grand Total Price
4,LH,10.25,1,1216.11,ECONOMY SAVER,1,1.5, FRA,7.583333333333333,No layover,0.0,2024-06-17,Evening,Evening,Monday,Weekday,7.103412518961122
4,LH,12.75,1,1216.11,ECONOMY SAVER,1,1.5, FRA,8.0,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,7.103412518961122
4,LH,12.75,1,1216.11,ECONOMY SAVER,1,1.5, FRA,10.0,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,7.103412518961122
4,LH,12.833333333333334,1,1216.11,ECONOMY SAVER,1,1.5, FRA,8.916666666666666,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,7.103412518961122
4,LH,15.25,1,1216.11,ECONOMY SAVER,1,1.5, FRA,7.583333333333333,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,7.103412518961122
4,LH,15.916666666666666,1,1216.11,ECONOMY SAVER,1,1.5, FRA,8.833333333333334,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,7.103412518961122
9,AF,10.5,1,1233.21,ECONOMY LIGHT,0,1.4166666666666667, AMS,8.083333333333334,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,7.1173758049638725
9,AF,10.916666666666666,1,1233.21,ECONOMY LIGHT,0,1.4166666666666667, AMS,8.25,No layover,0.0,2024-06-17,Morning,Afternoon,Monday,Weekday,7.1173758049638725
9,AF,12.0,1,1233.21,ECONOMY LIGHT,0,1.4166666666666667, AMS,8.0,No layover,0.0,2024-06-17,Morning,Afternoon,Monday,Weekday,7.1173758049638725
9,AF,13.333333333333334,1,1233.21,ECONOMY LIGHT,0,1.4166666666666667, AMS,8.25,No layover,0.0,2024-06-17,Morning,Afternoon,Monday,Weekday,7.1173758049638725
9,AF,13.333333333333334,1,1233.21,ECONOMY LIGHT,0,1.4166666666666667, AMS,8.083333333333334,No layover,0.0,2024-06-17,Morning,Evening,Monday,Weekday,7.1173758049638725
9,AF,15.416666666666666,1,1233.21,ECONOMY LIGHT,0,1.4166666666666667, AMS,8.0,No layover,0.0,2024-06-17,Morning,Afternoon,Monday,Weekday,7.1173758049638725
9,AF,15.75,1,1233.21,ECONOMY LIGHT,0,1.4166666666666667, AMS,8.083333333333334,No layover,0.0,2024-06-17,Morning,Evening,Monday,Weekday,7.1173758049638725
